price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,room_type,neighbourhood_group
379,1,10,4.55,353,7,Private room,Manhattan
85,3,1,1.0,67,1,Private room,Manhattan
70,3,8,0.17,0,2,Private room,Brooklyn
350,30,1,0.15,151,4,Entire home/apt,Manhattan
150,1,0,0.0,0,2,Private room,Manhattan
125,1,1,0.02,0,1,Entire home/apt,Brooklyn
160,2,0,0.0,349,1,Entire home/apt,Brooklyn
175,30,20,0.31,83,1,Private room,Manhattan
169,2,0,0.0,91,2,Entire home/apt,Queens
350,2,5,0.59,0,1,Entire home/apt,Manhattan
125,14,15,0.41,32,1,Entire home/apt,Brooklyn
184,2,0,0.0,0,2,Entire home/apt,Brooklyn
263,30,0,0.0,280,232,Entire home/apt,Manhattan
209,7,1,0.05,0,1,Entire home/apt,Brooklyn
130,13,3,1.32,20,1,Entire home/apt,Manhattan
85,3,37,0.81,61,1,Private room,Manhattan
99,1,0,0.0,157,1,Private room,Manhattan
100,10,0,0.0,59,1,Private room,Brooklyn
75,7,3,0.16,0,1,Private room,Brooklyn
51,5,0,0.0,0,1,Private room,Manhattan
140,1,4,0.74,0,2,Private room,Manhattan
99,3,99,2.08,45,1,Entire home/apt,Manhattan
150,10,2,0.1,0,1,Entire home/apt,Brooklyn
200,3,45,2.29,3,1,Entire home/apt,Brooklyn
125,4,0,0.0,0,1,Private room,Manhattan
84,7,7,0.26,24,1,Private room,Brooklyn
99,4,0,0.0,19,1,Entire home/apt,Brooklyn
249,1,22,7.59,283,9,Private room,Manhattan
215,3,3,0.1,0,1,Private room,Brooklyn
229,2,147,3.9,283,3,Entire home/apt,Manhattan
150,3,74,1.33,263,1,Entire home/apt,Manhattan
50,2,63,2.06,110,2,Private room,Bronx
239,29,0,0.0,364,121,Entire home/apt,Manhattan
107,30,35,0.55,18,1,Entire home/apt,Brooklyn
60,30,27,1.88,0,1,Private room,Brooklyn
595,2,0,0.0,313,3,Entire home/apt,Brooklyn
120,30,18,0.22,337,5,Entire home/apt,Manhattan
75,4,146,3.89,73,3,Private room,Manhattan
39,1,4,0.49,324,3,Shared room,Manhattan
100,1,7,0.18,0,1,Entire home/apt,Manhattan
175,3,199,2.78,272,1,Entire home/apt,Brooklyn
72,1,3,0.07,0,1,Entire home/apt,Brooklyn
110,7,1,0.68,23,2,Entire home/apt,Brooklyn
145,2,1,0.02,0,1,Entire home/apt,Brooklyn
350,3,2,2.0,46,1,Entire home/apt,Brooklyn
271,30,0,0.0,316,232,Entire home/apt,Manhattan
299,28,92,1.37,14,1,Entire home/apt,Manhattan
97,2,2,2.0,52,1,Entire home/apt,Queens
40,2,8,1.76,14,2,Private room,Brooklyn
239,30,0,0.0,365,121,Entire home/apt,Manhattan
150,1,1,0.02,0,1,Entire home/apt,Manhattan
100,1,0,0.0,173,1,Entire home/apt,Bronx
95,1,3,0.11,0,1,Entire home/apt,Brooklyn
100,1,0,0.0,290,6,Private room,Manhattan
89,1,79,2.24,0,3,Private room,Manhattan
250,3,1,0.05,180,1,Entire home/apt,Queens
187,30,13,0.2,346,8,Entire home/apt,Manhattan
249,4,0,0.0,0,2,Private room,Manhattan
215,5,7,2.73,335,8,Private room,Manhattan
149,2,234,3.9,255,1,Entire home/apt,Brooklyn
55,2,12,2.05,81,2,Private room,Queens
89,1,13,1.27,2,1,Private room,Manhattan
117,3,67,2.26,99,1,Private room,Manhattan
250,5,2,0.04,0,1,Entire home/apt,Manhattan
39,1,89,1.57,0,10,Private room,Brooklyn
179,3,24,0.65,3,1,Entire home/apt,Manhattan
111,1,9,3.7,223,3,Entire home/apt,Queens
150,1,0,0.0,0,2,Entire home/apt,Manhattan
85,1,0,0.0,365,1,Private room,Queens
239,5,10,0.46,188,1,Entire home/apt,Queens
137,3,8,1.21,0,2,Entire home/apt,Manhattan
195,3,47,2.39,55,1,Entire home/apt,Brooklyn
72,4,54,0.72,71,1,Private room,Brooklyn
86,4,2,0.06,0,1,Entire home/apt,Brooklyn
135,1,50,6.2,316,6,Private room,Manhattan
115,2,0,0.0,3,1,Entire home/apt,Manhattan
160,2,6,0.1,0,1,Entire home/apt,Manhattan
52,4,0,0.0,0,1,Private room,Brooklyn
150,2,77,2.56,142,1,Entire home/apt,Brooklyn
195,7,0,0.0,295,1,Entire home/apt,Manhattan
40,7,0,0.0,0,1,Private room,Brooklyn
55,2,1,0.03,0,1,Private room,Brooklyn
45,30,1,0.71,347,8,Private room,Queens
60,3,13,0.66,0,1,Private room,Brooklyn
210,30,1,0.43,329,87,Entire home/apt,Manhattan
95,5,29,1.81,120,1,Entire home/apt,Queens
70,3,36,0.41,281,4,Private room,Brooklyn
150,1,0,0.0,88,1,Private room,Manhattan
75,1,54,2.8,179,3,Private room,Brooklyn
65,3,40,1.99,70,3,Private room,Brooklyn
130,1,43,2.04,145,1,Private room,Manhattan
100,3,9,0.78,85,1,Shared room,Brooklyn
47,1,5,0.74,4,1,Private room,Brooklyn
125,30,1,0.01,341,1,Entire home/apt,Brooklyn
130,2,5,0.15,0,2,Entire home/apt,Brooklyn
54,3,0,0.0,19,1,Private room,Manhattan
98,4,245,3.61,247,1,Private room,Brooklyn
149,5,1,0.04,0,1,Entire home/apt,Brooklyn
70,3,33,0.81,365,1,Private room,Brooklyn
75,2,6,2.34,0,1,Private room,Brooklyn
57,2,17,0.21,308,4,Private room,Queens
105,1,8,2.4,0,4,Private room,Manhattan
345,7,15,1.92,21,1,Entire home/apt,Manhattan
120,4,37,3.22,78,1,Private room,Manhattan
105,4,1,0.03,0,1,Entire home/apt,Brooklyn
150,14,3,0.06,0,1,Entire home/apt,Brooklyn
112,2,3,0.29,364,2,Entire home/apt,Brooklyn
104,1,0,0.0,0,1,Entire home/apt,Manhattan
220,5,0,0.0,205,1,Entire home/apt,Manhattan
110,7,0,0.0,151,1,Entire home/apt,Brooklyn
288,2,0,0.0,346,1,Entire home/apt,Bronx
100,1,0,0.0,0,1,Private room,Queens
75,2,85,2.42,159,1,Private room,Queens
95,1,30,2.66,353,9,Private room,Queens
125,1,59,5.55,262,1,Entire home/apt,Manhattan
57,1,6,0.42,220,3,Private room,Bronx
35,62,0,0.0,0,1,Shared room,Queens
45,1,78,1.94,337,4,Private room,Queens
110,4,66,1.04,323,1,Private room,Brooklyn
55,2,26,1.36,75,1,Private room,Brooklyn
150,2,11,0.46,0,1,Entire home/apt,Brooklyn
50,2,0,0.0,0,1,Private room,Brooklyn
56,1,82,3.64,22,1,Entire home/apt,Brooklyn
40,7,1,0.81,346,9,Private room,Brooklyn
80,1,8,0.31,0,2,Private room,Manhattan
250,1,0,0.0,0,1,Entire home/apt,Manhattan
60,15,8,1.12,330,11,Private room,Brooklyn
314,30,0,0.0,341,232,Entire home/apt,Manhattan
220,3,33,0.51,174,2,Entire home/apt,Manhattan
55,90,0,0.0,193,1,Private room,Manhattan
85,1,46,5.59,20,4,Private room,Manhattan
195,2,0,0.0,0,1,Entire home/apt,Brooklyn
65,1,22,4.49,89,4,Private room,Brooklyn
206,30,3,0.41,161,1,Entire home/apt,Manhattan
